"historical_characters_on_screen_name_att_bel_anastasius"	"Анастасій"	"True"
"historical_characters_on_screen_name_att_bel_ioannina"	"Йоаніна"	"True"
"historical_characters_on_screen_name_att_bel_narses"	"Нарсес"	"True"
"historical_characters_on_screen_name_att_bel_photius"	"Фотій"	"True"
"historical_characters_on_screen_name_att_bel_theodosius"	"Феодосій"	"True"
"historical_characters_on_screen_name_att_hist_char_hunni_attila_the_hun"	"Гун Аттіла"	"True"
"historical_characters_on_screen_name_ollam_ri_bounty"	"Оллам Рі Багатий"	"True"
"historical_characters_on_screen_name_ollam_ri_judgement"	"Оллам Рі Справедливий"	"True"
"historical_characters_on_screen_name_ollam_ri_obstinance"	"Оллам Рі Упертий"	"True"
"historical_characters_on_screen_name_ollam_ri_pillage"	"Оллам Рі Грабіжник"	"True"
"historical_characters_on_screen_name_ollam_ri_wisdom"	"Оллам Рі Мудрий"	"True"
"historical_characters_on_screen_name_ybor_healer"	"Ібор, цілитель Годана"	"True"
"historical_characters_on_screen_name_ybor_poet"	"Ібор, поет Годана"	"True"
"historical_characters_on_screen_name_ybor_prophet"	"Ібор, пророк Годана"	"True"
"historical_characters_on_screen_name_ybor_wrath"	"Ібор, гнів Годана"	"True"
