"campaign_politics_strings_string_adopt_desc"	"Прийміть цього персонажа до своєї групи."	"true"
"campaign_politics_strings_string_adopt_fail_party_leader"	"Голова партії не може бути прийнятий."	"true"
"campaign_politics_strings_string_adoption_accepted_desc"	"Персонажа прийнято"	"true"
"campaign_politics_strings_string_assassinate_desc"	"Спроба вбити цього персонажа."	"true"
"campaign_politics_strings_string_assassinate_fail_faction_leader"	"Ви не можете вбити лідера своєї фракції."	"true"
"campaign_politics_strings_string_assassinate_result_target_killed"	"Обраного персонажа було вбито."	"true"
"campaign_politics_strings_string_assassinate_result_target_wounded"	"Обраного персонажа було поранено."	"true"
"campaign_politics_strings_string_assassinate_wife_desc"	"Спроба вбити дружину цього персонажа."	"true"
"campaign_politics_strings_string_blackmail_gravitas_loss"	"Харизма: %n"	"true"
"campaign_politics_strings_string_bribe_desc"	"Підкупіть цього персонажа, щоб він прийшов до вашої групи. Обраний персонаж втратить авторитет, якщо погодиться."	"true"
"campaign_politics_strings_string_bribe_fail_party_leader"	"Керівників партій не можна підкупити."	"true"
"campaign_politics_strings_string_divorce_desc"	"Змусити цього персонажа розлучитися з дружиною."	"true"
"campaign_politics_strings_string_fail_money"	"У вас недостатньо грошей."	"true"
"campaign_politics_strings_string_fail_power"	"У вас недостатньо впливу."	"true"
"campaign_politics_strings_string_get_into_position_age_and_rank_requirement"	"Цей персонаж повинен мати вік щонайменше %n років та ранг %n або вище."	"true"
"campaign_politics_strings_string_get_into_position_age_requirement"	"Цьому персонажу має бути щонайменше %n років."	"true"
"campaign_politics_strings_string_get_into_position_desc"	"Використайте свій вплив, щоб підвищити цього персонажа до вищої посади."	"true"
"campaign_politics_strings_string_get_into_position_rank_requirement"	"Цей персонаж повинен мати ранг %n або вище."	"true"
"campaign_politics_strings_string_marry_desc"	"Влаштуйте шлюб між цим чоловіком та одним із ваших родичів. Ця подія пом'якшити конфлікт між нашоми родинами."	"true"
"campaign_politics_strings_string_money_cost"	"Ціна: %d"	"true"
"campaign_politics_strings_string_power_cost"	"Вплив: %d"	"true"
"campaign_politics_strings_string_spread_rumours_desc"	"Поширюйте чутки про цього персонажа, щоб зменшити його авторитет."	"true"
