"cdir_events_dilemma_choice_details_localised_choice_label_att_bel_request_antoninia_rumours_1FIRST"	"Заплющити очі"	"true"
"cdir_events_dilemma_choice_details_localised_choice_label_att_bel_request_antoninia_rumours_1SECOND"	"Вбити його"	"true"
"cdir_events_dilemma_choice_details_localised_choice_label_att_bel_request_antoninia_thedosius_1FIRST"	"Усиновити його"	"true"
"cdir_events_dilemma_choice_details_localised_choice_label_att_bel_request_antoninia_thedosius_1SECOND"	"Відмовитися"	"true"
"cdir_events_dilemma_choice_details_localised_choice_label_att_bel_request_justinian_narses_1FIRST"	"Підвищити його"	"true"
"cdir_events_dilemma_choice_details_localised_choice_label_att_bel_request_justinian_narses_1SECOND"	"Усунути від справ"	"true"
"cdir_events_dilemma_choice_details_localised_choice_label_att_bel_request_justinian_photius_1FIRST"	"Знехтувати Антоніною"	"true"
"cdir_events_dilemma_choice_details_localised_choice_label_att_bel_request_justinian_photius_1SECOND"	"Вбити Фотія"	"true"
"cdir_events_dilemma_choice_details_localised_choice_label_att_bel_request_theodosia_amalasuntha_1FIRST"	"Відмовитися від завдання"	"true"
"cdir_events_dilemma_choice_details_localised_choice_label_att_bel_request_theodosia_amalasuntha_1SECOND"	"Прийняти завдання"	"true"
"cdir_events_dilemma_choice_details_localised_choice_label_att_bel_request_theodosia_ioannina_1FIRST"	"Ігнорувати дружину"	"true"
"cdir_events_dilemma_choice_details_localised_choice_label_att_bel_request_theodosia_ioannina_1SECOND"	"Вбити Анастасія"	"true"
"cdir_events_dilemma_choice_details_localised_choice_label_att_bel_request_theodosia_pope_1FIRST"	"Скинути його"	"true"
"cdir_events_dilemma_choice_details_localised_choice_label_att_bel_request_theodosia_pope_1SECOND"	"Нічого не робити"	"true"
"cdir_events_dilemma_choice_details_localised_choice_label_att_dilemma_domestic_none_plentiful_harvest_1FIRST"	"Віддати народу"	"true"
"cdir_events_dilemma_choice_details_localised_choice_label_att_dilemma_domestic_none_plentiful_harvest_1SECOND"	"Покласти на склад"	"true"
"cdir_events_dilemma_choice_details_localised_choice_label_att_dilemma_domestic_roman_saint_telemachus_1FIRST"	"Заборонити ігри"	"true"
"cdir_events_dilemma_choice_details_localised_choice_label_att_dilemma_domestic_roman_saint_telemachus_1SECOND"	"Замкніть протестувальників"	"true"
"cdir_events_dilemma_choice_details_localised_choice_label_att_dilemma_military_none_war_child_1FIRST"	"Забрати дитину"	"true"
"cdir_events_dilemma_choice_details_localised_choice_label_att_dilemma_military_none_war_child_1SECOND"	"Залишити дитину"	"true"
"cdir_events_dilemma_choice_details_localised_choice_label_att_dilemma_religious_arian_religious_sanctions_1FIRST"	"Дати їм рівні права"	"true"
